"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.pesci.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.rettili.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.uccelli.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.vegetali.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.non_classif.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.fitocenosi.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.habitat.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idalbmon.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.idpgeodet.10k.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.idpgeodet.raf7km.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.ctr10kgreylight"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.10k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.10k.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.5k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.5k.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv4.2.2010"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv4.2.2010.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2008"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2008.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2007"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2007.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2006"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2006.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2005"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2005.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2004"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2004.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2003"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2003.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2002"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2002.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2001.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2000"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.2000.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1999"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1999.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1998"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1998.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1997"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1997.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1995"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1995.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1994"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1994.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1993"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1993.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1992"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1992.qu"
